"Category","Design ID","Element ID","Exact Colour","Name","Price"
"Tubes","64230","4558850","1.MULT","SPIRAL TUBE W. TUBE STUD","£0.80"
"Tubes","64230","4558851","4.MULT","SPIRAL TUBE W. TUBE STUD","£0.80"
