"Category","Design ID","Element ID","Exact Colour","Name","Colour Family","Price"
"Beams","32524","6038628","DK.GREEN","TECHNIC 7M BEAM",,
"Beams","32524","6097392","BR.GREEN","TECHNIC 7M BEAM",,"£0.35"
"Beams","32524","6102621","BR.ORANGE","TECHNIC 7M BEAM",,"£0.31"
"Beams","32524","6133891","MEDIUM AZUR","TECHNIC 7M BEAM","Blue","£0.34"
"Beams","32524","6164394","MD.BLUE","TECHNIC 7M BEAM","Blue","£0.31"
"Beams","32526","4142823","BLACK","TECHNIC ANG. BEAM 3X5 90 DEG.","Black","£0.28"
"Beams","32526","4143154","BR.RED","TECHNIC ANG. BEAM 3X5 90 DEG.","Red","£0.29"
"Beams","32526","4144022","BR.YEL","TECHNIC ANG. BEAM 3X5 90 DEG.","Yellow","£0.29"
"Beams","32526","4154958","GREY","TECHNIC ANG. BEAM 3X5 90 DEG.","Grey",
"Beams","32526","4155459","DK.GREY","TECHNIC ANG. BEAM 3X5 90 DEG.","Grey",
"Beams","32526","4158923","BR.BLUE","TECHNIC ANG. BEAM 3X5 90 DEG.","Blue","£0.28"
"Beams","32526","4177435","SILVER","TECHNIC ANG. BEAM 3X5 90 DEG.",,
"Beams","32526","4204714","WHITE","TECHNIC ANG. BEAM 3X5 90 DEG.","White",
"Beams","32526","4205826","EARTH-ORA","TECHNIC ANG. BEAM 3X5 90 DEG.","Orange-brown",
"Beams","32526","4210753","DK. ST. GREY","TECHNIC ANG. BEAM 3X5 90 DEG.","Grey","£0.29"
"Beams","32526","4211713","MED. ST-GREY","TECHNIC ANG. BEAM 3X5 90 DEG.","Grey","£0.28"
"Beams","32526","4227485","MET.DK.GREY","TECHNIC ANG. BEAM 3X5 90 DEG.","Grey",
"Beams","32526","4234421","BRICK-YEL","TECHNIC ANG. BEAM 3X5 90 DEG.",,
"Beams","32526","4585040","WHITE","TECHNIC ANG. BEAM 3X5 90 DEG.","White","£0.28"
"Beams","32526","4651764","BR.YEL-GREEN","TECHNIC ANG. BEAM 3X5 90 DEG.",,
"Beams","32526","6013557","DK.GREEN","TECHNIC ANG. BEAM 3X5 90 DEG.",,"£0.47"
"Beams","32526","6143015","BR.ORANGE","TECHNIC ANG. BEAM 3X5 90 DEG.",,"£0.31"
"Beams","32526","6164392","MD.BLUE","TECHNIC ANG. BEAM 3X5 90 DEG.","Blue","£0.35"
"Beams","32526","6170475","BR.YEL-GREEN","ANGULAR BEAM 3X5, 90 DEG.",,"£0.35"
"Beams","41239","4227601","SILVER","TECHNIC 13M BEAM",,
"Beams","41239","4522933","BLACK","TECHNIC 13M BEAM","Black","£0.40"
"Beams","41239","4522934","MED. ST-GREY","TECHNIC 13M BEAM","Grey","£0.40"
"Beams","41239","4522935","BR.YEL","TECHNIC 13M BEAM","Yellow","£0.41"
"Beams","41239","4522937","DK. ST. GREY","TECHNIC 13M BEAM","Grey","£0.41"
"Beams","41239","4522938","BR.RED","TECHNIC 13M BEAM","Red","£0.41"
"Beams","41239","4522939","LGH. ST. GREY","TECHNIC 13M BEAM","Grey",
"Beams","41239","4620671","WHITE","TECHNIC 13M BEAM","White","£0.40"
"Beams","41239","4629802","BR.ORANGE","TECHNIC 13M BEAM",,"£0.46"
"Beams","41239","6036632","DK.GREEN","TECHNIC 13M BEAM",,"£0.48"
"Beams","41239","6063602","BR.YEL-GREEN","TECHNIC 13M BEAM",,"£0.48"
"Beams","41239","6133901","MEDIUM AZUR","TECHNIC 13M BEAM","Blue","£0.43"
"Beams","41239","6171916","MD.BLUE","TECHNIC 13M BEAM","Blue","£0.48"
"Beams","41239","6173125","BR.BLUE","TECHNIC 13M BEAM","Blue","£0.44"
"Beams","41482","4157772","WHITE","TECHNIC 3M BEAM, PC","White",
"Beams","41482","4175935","MET.SAND.BLU","TECHNIC 3M BEAM, PC","Blue",
"Beams","43857","4177444","BLACK","TECHNIC 2M BEAM","Black","£0.11"
"Beams","43857","4185664","BR.RED","TECHNIC 2M BEAM","Red","£0.11"
"Beams","43857","4187122","BR.YEL","TECHNIC 2M BEAM","Yellow","£0.11"
"Beams","43857","4195272","GREY","TECHNIC 2M BEAM","Grey",
"Beams","43857","4205832","EARTH-ORA","TECHNIC 2M BEAM","Orange-brown",
"Beams","43857","4211862","MED. ST-GREY","TECHNIC 2M BEAM","Grey","£0.11"
"Beams","43857","4227476","MET.DK.GREY","TECHNIC 2M BEAM","Grey",
"Beams","43857","4263119","BR.YEL-GREEN","TECHNIC 2M BEAM",,
"Beams","43857","6057802","BR.BLUE","TECHNIC 2M BEAM","Blue","£0.13"
"Beams","60484","4552347","BLACK","T-BEAM 3X3 W/HOLE Ø4.8","Black","£0.19"
