"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Figure, Accessories, Shells W/ Ballsnap","Grey","10267","6002139","TITAN. METAL.","CHEST NO.2, DECO NO. 9"
"Figure, Accessories, Shells W/ Ballsnap","White","10269","6002208","WHITE","CHEST NO.2, DECO NO.11"
"Figure, Accessories, Shells W/ Ballsnap","Yellow","70100","4655681","BR.YEL","CHEST NO.2, DECO NO. 2"
