"ItemNo","ItemDescr","ColourLikeDescr","ColourDescr","MaingroupDescr","Price","DesignId"
4251778,"DUPLO BRICK, BOW 2X3X1","Red","NEW DARK RED","Bricks","-1.00",2302
4259655,"DUPLO BRICK, BOW 2X3X1","","BR.ORANGE","Bricks","0.64",2302
4515977,"DUPLO BRICK, BOW 2X3X1","Grey","MED. ST-GREY","Bricks","-1.00",2302
4541728,"DUPLO BRICK, BOW 2X3X1","Blue","MD.BLUE","Bricks","1.06",2302
4652740,"DUPLO BRICK, BOW 2X3X1","Purple","LGH. PURPLE","Bricks","0.70",2302
6005014,"DUPLO BRICK, BOW 2X3X1","Purple","BR. PURPLE","Bricks","0.71",2302
6019206,"DUPLO BRICK, BOW 2X3X1","Purple","BR.RED-VIOL.","Bricks","1.16",2302
6020068,"DUPLO BRICK, BOW 2X3X1","","BR.YEL-GREEN","Bricks","0.62",2302
6055103,"DUPLO BRICK, BOW 2X3X1","Yellow","FL. YELL-ORA","Bricks","0.86",2302
6062365,"DUPLO BRICK, BOW 2X3X1","","M. LILAC","Bricks","1.16",2302
6138111,"DUPLO BRICK, BOW 2X3X1","Blue","MEDIUM AZUR","Bricks","0.67",2302
6167686,"DUPLO BRICK, BOW 2X3X1","Blue","DARK AZUR","Bricks","-1.00",2302
6172232,"DUPLO BRICK, BOW 2X3X1","White","WHITE","Bricks","0.66",2302
6172448,"DUPLO BRICK, BOW 2X3X1","Black","BLACK","Bricks","1.03",2302
231830,"DUPLO FLASHING LIGHT 01/43","","1.MULT","Bricks","-1.00",2318
4293315,"DUPLO FLASHING LIGHT 131/43","","8.MULTI","Bricks","-1.00",2318
4519404,"DUPLO FLASHING LIGHT 131/47","","5.MULTI","Bricks","-1.00",2318
233221,"DUPLO DOOR-/WINDOWELEM. 2X4X3","Red","BR.RED","Bricks","-1.00",2332
233224,"DUPLO DOOR-/WINDOWELEM. 2X4X3","Yellow","BR.YEL","Bricks","-1.00",2332
4264282,"DUPLO DOOR-/WINDOWELEM. 2X4X3","","BRICK-YEL","Bricks","-1.00",2332
233902,"BRICK W. BOW 1X5X4","Grey","GREY","Bricks, Special","-1.00",2339
4159140,"BRICK W. BOW 1X5X4","Black","BLACK","Bricks, Special","-1.00",2339
4159223,"BRICK W. BOW 1X5X4","Orange-brown","EARTH-ORA","Bricks, Special","-1.00",2339
4185798,"BRICK W. BOW 1X5X4","Red","BR.RED","Bricks, Special","-1.00",2339
4211239,"BRICK W. BOW 1X5X4","","RED. BROWN","Bricks, Special","-1.00",2339
4211348,"BRICK W. BOW 1X5X4","Grey","MED. ST-GREY","Bricks, Special","-1.00",2339
4270465,"BRICK W. BOW 1X5X4","","DK.GREEN","Bricks, Special","-1.00",2339
4518606,"BRICK W. BOW 1X5X4","","DK. BROWN","Bricks, Special","-1.00",2339
4519929,"BRICK W. BOW 1X5X4","Grey","DK. ST. GREY","Bricks, Special","-1.00",2339
4519933,"BRICK W. BOW 1X5X4","Blue","EARTH BLUE","Bricks, Special","-1.00",2339
234001,"RUDDER 1X4X3","White","WHITE","Bricks, Special","0.56",2340
4224009,"RUDDER 1X4X3","Blue","EARTH BLUE","Bricks, Special","-1.00",2340
4270885,"RUDDER 1X4X3","","RED. BROWN","Bricks, Special","-1.00",2340
4621181,"RUDDER 1X4X3","Purple","BR.RED-VIOL.","Bricks, Special","-1.00",2340
4651541,"RUDDER 1X4X3","Black","BLACK","Bricks, Special","0.56",2340
6013636,"RUDDER 1X4X3","Red","BR.RED","Bricks, Special","0.56",2340
6036499,"RUDDER 1X4X3","Blue","MEDIUM AZUR","Bricks, Special","-1.00",2340
6133621,"RUDDER 1X4X3","Grey","DK. ST. GREY","Bricks, Special","0.56",2340
6134636,"RUDDER 1X4X3","Yellow","FL. YELL-ORA","Bricks, Special","0.60",2340
6181995,"RUDDER 1X4X3","","DK.ORA","Bricks, Special","-1.00",2340
4251563,"DOUB. INVERT.ROOF TILE 1X3/45°","Grey","MED. ST-GREY","Bricks, Special","-1.00",2341
4651871,"DOUB. INVERT.ROOF TILE 1X3/45°","Grey","DK. ST. GREY","Bricks, Special","-1.00",2341
4219697,"WALLELEMENT CORNER","Grey","MED. ST-GREY","Bricks, Special","-1.00",2345
234626,"TYRE HIGH NARROW Ø30.4 X 7","Black","BLACK","Bricks, Special","-1.00",2346
235224,"WINDOW 2X4/1X4","Yellow","BR.YEL","Bricks, Special","-1.00",2352
4190794,"BRICK 4X6","Blue","BR.BLUE","Bricks, Special","-1.00",2356
235701,"BRICK CORNER 1X2X2","White","WHITE","Bricks","0.12",2357
235702,"BRICK CORNER 1X2X2","Grey","GREY","Bricks","-1.00",2357
235721,"BRICK CORNER 1X2X2","Red","BR.RED","Bricks","0.13",2357
235724,"BRICK CORNER 1X2X2","Yellow","BR.YEL","Bricks","0.14",2357
235726,"BRICK CORNER 1X2X2","Black","BLACK","Bricks","0.12",2357
4114511,"BRICK CORNER 1X2X2","Grey","DK.GREY","Bricks","-1.00",2357
4124455,"BRICK CORNER 1X2X2","","BRICK-YEL","Bricks","0.12",2357
4125281,"BRICK CORNER 1X2X2","","DK.GREEN","Bricks","-1.00",2357
4155044,"BRICK CORNER 1X2X2","","SAND GREEN","Bricks","-1.00",2357
