"replacementBrickService","Category","Colour Family","Design ID","Element ID","Exact Colour","Name","Price","pickABrickService"
true,"Bricks, Special","Grey","15504","6063660","DK. ST. GREY","TAIL 14x24x16 MM",,
true,"Bricks, Special","Blue","15504","6195115","SAND BLUE","TAIL 14x24x16 MM",,
true,"Bricks",,"15515","6054622","BR.YEL-GREEN","FLOWER 4X4X1","£0.97",
true,"Bricks","Yellow","15515","6056608","FL. YELL-ORA","FLOWER 4X4X1","£1.55",
true,"Bricks","Blue","15515","6061208","MEDIUM AZUR","FLOWER 4X4X1","£0.95",
true,"Bricks",,"15515","6149948","LAVENDER","FLOWER 4X4X1","£1.18",
true,"Bricks","Purple","15516","6054641","LGH. PURPLE","TABLE Ø4X1",,
true,"Bricks",,"15516","6054642","BRICK-YEL","TABLE Ø4X1","£1.56",
true,"Bricks",,"15516","6054652","RED. BROWN","TABLE Ø4X1","£1.56",
true,"Bricks, Special",,"15518","6051328","BRICK-YEL","PLATE W. BOW  2X2X2/3  ""NO. 1""",,
true,"Bricks, Special","Black","15532","6055308","BLACK","CHAIN WITH BALL","£0.59",
true,"Bricks, Special",,"15533","6055309","M. NOUGAT","PROFILE BRICK 1x4 SINGLE GRO.","£0.32",
true,"Bricks, Special","Grey","15534","6055312","DK. ST. GREY","3-HOOK W. ANGLE SHAFT Ø3.2","£0.32",
true,"Bricks, Special","Grey","15535","6055313","DK. ST. GREY","FLAT TILE 2x2 ROUND W. HOLE Ø4.85","£0.08",
true,"Bricks, Special",,"15535","6074954","DK.GREEN","FLAT TILE 2x2 ROUND W. HOLE Ø4.85","£0.11",
true,"Bricks, Special","Red","15535","6102138","BR.RED","FLAT TILE 2x2 ROUND W. HOLE Ø4.85","£0.10",
true,"Bricks, Special",,"15535","6115248","BRICK-YEL","FLAT TILE 2x2 ROUND W. HOLE Ø4.85","£0.08",
true,"Bricks, Special",,"15535","6132790","SAND YELLOW","FLAT TILE 2x2 ROUND W. HOLE Ø4.85","£0.10",
true,"Bricks, Special","Black","15535","6143850","BLACK","FLAT TILE 2x2 ROUND W. HOLE Ø4.85","£0.08",
true,"Bricks, Special",,"15535","6147052","BR.ORANGE","FLAT TILE 2x2 ROUND W. HOLE Ø4.85","£0.11",
true,"Bricks, Special",,"15535","6167483","BR.YEL-GREEN","FLAT TILE 2X2 ROUND W/ HOLE DIA. 4.85","£0.11",
