"Category","Colour Family","Design ID","Element ID","Exact Colour","Name"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",47912,4254730,"TR.L.ROYAL BLUE","BANGLE 45X57X12 W. 1 BASE"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",48174,4254403,"TR.L.ROYAL BLUE","TWEEN: DAISY JELLY, Ø 29"
"Bricks, Special Ø4.85 Hole And Connecting Bush","Blue",48200,4217397,"TR.L.ROYAL BLUE","PAPERCLIPS"
